Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Binnenlandse Baan 12,Barendrecht,587500,325,173,1962,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,9,6,2 woonlagen en een zolder,2,0,1,0,E,"Aan drukke weg, in centrum, in woonwijk en vrij uitzicht","Achtertuin, tuin en zonneterras",400
Scherpenbergsebaan 6,Schijf,1750000,8795,605,1970,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,10,6,2 woonlagen en een kelder,2,1,0,0,C,"Aan rustige weg, beschutte ligging en in bosrijke omgeving",Tuin rondom,860
Fuutstraat 20,Sliedrecht,385000,203,141,1971,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,D,In woonwijk,Achtertuin,2875
Minister Aalbersestraat 23,Maastricht,249000,176,78,1951,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,3,"2 woonlagen, een vliering en een kelder",2,1,0,1,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,283
Fang 6,Rottum (FR),349000,330,117,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een zolder,2,0,1,0,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,750
Eindstraat 24,Veldhoven,639000,249,160,1967,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,4,2 woonlagen en een zolder,2,0,1,0,D,Aan rustige weg en in woonwijk,Achtertuin en tuin,5405
Prinses Beatrixstraat 55,Bodegraven,295000,115,76,1952,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een zolder,2,0,1,0,D,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin,
Le Tourmalet 11,Amsterdam,485000,123,86,1997,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4,3,2 woonlagen,2,0,0,0,A,In woonwijk,Achtertuin en tuin,1447
Irenestraat 8,Erp,345000,151,137,1973,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,870
Esdoornhout 7,Assen,499500,295,164,2005,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,1145
Koggestraat 46,Wervershoof,319000,147,118,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,2835
Zwanensingel 265,Wijchen,280000,165,118,1967,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4,3,3 woonlagen,3,0,0,0,C,In woonwijk,Achtertuin en tuin,4295
Hoogheidseweg 6,Venray,695000,546,216,2007,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,A+,Aan rustige weg en in woonwijk,Tuin rondom,2235
nsenstate 30,Ede,325000,157,110,1993,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,2425
Kievitstraat 27,Alkmaar,315000,107,76,1926,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een vliering,2,0,0,1,D,,Achtertuin,23
Bernhardstraat 30,Rijen,290000,302,71,1954,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,3,3 woonlagen,3,0,0,0,F,Aan rustige weg en in woonwijk,Achtertuin en tuin,2918
Refeling 49,Nuenen,550000,275,158,1969,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,D,Aan rustige weg en in woonwijk,Achtertuin en tuin,706
An van Burenstraat 26,Alkmaar,450000,130,108,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een zolder,2,0,1,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,131
